"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 21 14:58:08 UTC 2025","Mon Jul 21 14:58:09 UTC 2025","498","","tests.junit5.api.tests.petsapi.PetTestRefactor","","tests.junit5.api.tests.petsapi.PetTestRefactor","getPetByIdTest","getPetByIdTest()",""
"passed","Mon Jul 21 14:58:55 UTC 2025","Mon Jul 21 14:58:56 UTC 2025","1134","","tests.junit5.api.tests.swagger.GameTests","","tests.junit5.api.tests.swagger.GameTests","deleteBaseGame","deleteBaseGame(FullUser)",""
"passed","Mon Jul 21 15:11:22 UTC 2025","Mon Jul 21 15:11:27 UTC 2025","4774","","tests.junit5.ui.base_tests.selenium.elements.SimpleSeleniumTests","","tests.junit5.ui.base_tests.selenium.elements.SimpleSeleniumTests","testDownload","testDownload()",""
"failed","Mon Jul 21 14:57:59 UTC 2025","Mon Jul 21 14:57:59 UTC 2025","68","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","addNewUserTest","addNewUserTest()",""
"failed","Mon Jul 21 14:57:59 UTC 2025","Mon Jul 21 14:57:59 UTC 2025","72","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","getSingleUserTest","getSingleUserTest()",""
"passed","Mon Jul 21 14:59:59 UTC 2025","Mon Jul 21 14:59:59 UTC 2025","792","","tests.junit5.api.tests.swagger.UserTests","","tests.junit5.api.tests.swagger.UserTests","negativeRegisterLoginExistsTest","negativeRegisterLoginExistsTest()",""
"passed","Mon Jul 21 14:59:38 UTC 2025","Mon Jul 21 14:59:38 UTC 2025","373","","tests.junit5.api.tests.swagger.UserNewTests","","tests.junit5.api.tests.swagger.UserNewTests","negativeGetUserInfoWithoutJwtTest","negativeGetUserInfoWithoutJwtTest()",""
"passed","Mon Jul 21 14:59:50 UTC 2025","Mon Jul 21 14:59:50 UTC 2025","349","","tests.junit5.api.tests.swagger.UserTests","","tests.junit5.api.tests.swagger.UserTests","positiveAdminAuthTest","positiveAdminAuthTest()",""
"passed","Mon Jul 21 15:02:37 UTC 2025","Mon Jul 21 15:02:42 UTC 2025","5196","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","checkTotalSumTest","checkTotalSumTest(String, String, String, String, String) [4] А3, Цветная, заливка до 20%, В формат А4, 100, 3800",""
"passed","Mon Jul 21 14:59:50 UTC 2025","Mon Jul 21 14:59:50 UTC 2025","374","","tests.junit5.api.tests.swagger.UserTests","","tests.junit5.api.tests.swagger.UserTests","positiveRegisterTest","positiveRegisterTest()",""
